SessionId	Timestamp	ItemId	Category
670038	2014-04-13 20:28:46.783000+00:00	214821341	0
670038	2014-04-13 20:28:48.689000+00:00	214821341	0
670038	2014-04-13 20:31:26.953000+00:00	214821341	0
670038	2014-04-13 20:31:28.730000+00:00	214821341	0
1234567	2014-04-17 19:02:15.846000+00:00	214836761	0
2345678	2014-05-10 15:35:53.108000+00:00	214829882	0
2345678	2014-05-10 15:37:48.721000+00:00	214821324	0
2345678	2014-05-10 15:38:53.725000+00:00	214821326	0
2345678	2014-05-10 15:40:01.155000+00:00	214823904	0
3456789	2014-05-21 06:29:14.775000+00:00	214698581	0
5362338	2014-06-30 21:34:08.262000+00:00	214839982	S
5362338	2014-06-30 21:36:54.674000+00:00	214826668	S
5362338	2014-06-30 21:37:51.658000+00:00	214826668	S
5362338	2014-06-30 21:39:00.993000+00:00	214579288	S
5362338	2014-06-30 21:43:42.983000+00:00	214845407	S
5362338	2014-06-30 21:44:39.901000+00:00	214554510	S
5362338	2014-06-30 21:45:17.186000+00:00	214845407	S
5362338	2014-06-30 21:47:10.571000+00:00	214683590	4
5362338	2014-06-30 21:47:40.037000+00:00	214845407	S
5362338	2014-06-30 21:49:40.301000+00:00	214640520	S
5678901	2014-07-06 17:46:36.063000+00:00	214574124	7
5678901	2014-07-06 17:50:46.364000+00:00	214699044	7
6502006	2014-07-21 11:39:02.931000+00:00	214848945	S
6502006	2014-07-21 11:40:51.193000+00:00	214849003	S
6502006	2014-07-21 11:41:32.735000+00:00	214845943	S
6789012	2014-07-28 17:24:37.261000+00:00	214684108	S
6789012	2014-07-28 17:25:08.969000+00:00	214554950	S
6789012	2014-07-28 17:25:18.731000+00:00	214684108	S
6789012	2014-07-28 17:25:47.214000+00:00	214684108	S
6789012	2014-07-28 17:25:54.871000+00:00	214826822	S
6789012	2014-07-28 17:25:57.732000+00:00	214709304	S
6789012	2014-07-28 17:26:01.133000+00:00	214826822	S
6789012	2014-07-28 17:26:03.923000+00:00	214554950	S
6789012	2014-07-28 17:26:14.404000+00:00	214684108	S
6789012	2014-07-28 17:26:59.053000+00:00	214684108	S
6789012	2014-07-28 17:29:01.962000+00:00	214684108	S
6789012	2014-07-28 17:29:12.254000+00:00	214826822	S
6789012	2014-07-28 17:29:14.934000+00:00	214554950	S
6789012	2014-07-28 17:29:21.227000+00:00	214684108	S
6789012	2014-07-28 17:30:01.348000+00:00	214684108	S
7890123	2014-08-11 07:50:41.377000+00:00	214848851	S
7890123	2014-08-11 07:51:29.078000+00:00	214832604	S
7890123	2014-08-11 07:53:36.091000+00:00	214854440	S
7890123	2014-08-11 07:54:42.454000+00:00	214743581	S
8901234	2014-08-25 07:25:46.450000+00:00	214856537	1
8901234	2014-08-25 07:26:50.149000+00:00	214853218	S
10123456	2014-09-06 16:31:59.200000+00:00	214853722	S
10123456	2014-09-06 16:32:07.340000+00:00	214853767	S
10123456	2014-09-06 16:34:04.443000+00:00	214853702	S
11123456	2014-09-22 14:45:32.097000+00:00	214854802	S
11123456	2014-09-22 15:00:13.042000+00:00	214854802	S
11123456	2014-09-22 15:00:47.586000+00:00	214837873	S
11123456	2014-09-22 15:02:44.486000+00:00	214854802	S
